RestaurantID,CountryCode,City,Locality,LocalityVerbose,Longitude,Latitude,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,Datekey_Opening,Cuisines 1,Cuisines 2,Cuisines 3,Cuisines 4,Cuisines 5,Cuisines 6,Cuisines 7,Cuisines 8
18435314,1,New Delhi,Geeta Colony,"Geeta Colony, New Delhi",77.2767689,28.6507753,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013_9_21,North Indian,,,,,,,
18378015,1,New Delhi,Geeta Colony,"Geeta Colony, New Delhi",77.27505159,28.65821556,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2016_9_10,North Indian,,,,,,,
18424905,1,New Delhi,Lajpat Nagar 1,"Lajpat Nagar 1, New Delhi",77.2413122,28.5783107,North Indian,Indian Rupees(Rs.),No,Yes,No,No,1,0,400,1,2018_9_25,North Indian,,,,,,,
18180072,1,New Delhi,Mahipalpur,"Mahipalpur, New Delhi",77.1239323,28.5435869,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2018_9_6,North Indian,,,,,,,
18415377,1,New Delhi,Mahipalpur,"Mahipalpur, New Delhi",77.1297061,28.5413686,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2013_9_17,North Indian,,,,,,,
18421485,1,New Delhi,Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2081351,28.699566,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2018_9_3,North Indian,,,,,,,
312413,1,New Delhi,Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2190942,28.7094798,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2011_9_16,North Indian,,,,,,,
303497,1,New Delhi,Najafgarh,"Najafgarh, New Delhi",76.9748922,28.6112536,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,2014_9_21,North Indian,,,,,,,
18354644,1,New Delhi,New Friends Colony,"New Friends Colony, New Delhi",77.27276199,28.56077074,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2012_9_9,North Indian,,,,,,,
18366001,1,New Delhi,Palam,"Palam, New Delhi",77.0902799,28.5828978,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2014_9_21,North Indian,,,,,,,
18486845,1,New Delhi,R K Puram,"R K Puram, New Delhi",77.1741183,28.5771926,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,2012_9_24,North Indian,,,,,,,
18424202,1,New Delhi,Vasundhara Enclave,"Vasundhara Enclave, New Delhi",77.3085095,28.5893763,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,50,1,2014_9_20,North Indian,,,,,,,
18472678,1,New Delhi,Defence Colony,"Defence Colony, New Delhi",77.2254202,28.5728608,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013_8_10,North Indian,,,,,,,
18209806,1,New Delhi,Dilshad Garden,"Dilshad Garden, New Delhi",77.30820905,28.67788563,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,250,1,2010_8_20,North Indian,,,,,,,
18286922,1,New Delhi,Jangpura,"Jangpura, New Delhi",77.2479992,28.5832431,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,2017_8_24,North Indian,,,,,,,
18458302,1,New Delhi,Jangpura,"Jangpura, New Delhi",77.2474752,28.5839782,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2013_8_15,North Indian,,,,,,,
7362,1,New Delhi,Mahipalpur,"Mahipalpur, New Delhi",77.1230334,28.5451138,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,2010_8_24,North Indian,,,,,,,
18466400,1,New Delhi,Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2091154,28.7146792,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,2015_8_13,North Indian,,,,,,,
